Strain ID	Synthetic chromosome	Phenotype	"SCRaMbLEing
(Y/N)"	"Integrate CRE-EBD into the HO locus
(Y/N)"	Slow Growth	Round	Tube	Colony	Total # of reads	Total # of reads after quality control	Total # of reads mapping to WT chromosomes	Total # of reads mapping to syn chromosome without bisection / trisection	Total # of reads mapping to syn chromosome with bisection / trisection	"Total # of reads, other"	Maximal read depth supporting a putative ectopic recombination	Average sequencing depth: the non-synthetic regions	Average sequencing depth: SYN chromosome	Total # of reads containing loxP site	# including sequence mapping on non-syn chromosome (should be 0)	# mapping to parent sequence	# consistent with solution: mapping to parent	# consistent with solution: not mapping to parent(# not mapping to parental sequence but consistent with the solution)	# inconsistent with solution: mapping to parent	# inconsistent with solution: not mapping to parent	Maximal read depth supporting a putative off-target recombination	Total # of recombinations	# of new junctions that are CDS-UTR	# of new junctions that are CDS-CDS	# of new junctions that are UTR-UTR	 # of new junctions that involve non-CDS or non-UTR sequence (when the loxP site wasn't in a 3' UTR)	# of segments observed at copy number 1	# of segments observed at copy number 2 or more	# of segments deleted	# of reconstructions	# of 10kb reads	# mapping to syn chromosome parent sequence	"# mapping to syn chromosome with recombination, consistent with solution (loxp)"	# mapping to syn chromosome but inconsistent with solution(loxp)	 Final # of possible unique reconstruction	solutions	# of Deletion: Events	# of Deletion: Junctions	# of Inversion: Events	# of Inversion: Junctions	# of Tandem Duplication: Events	# of Tandem Duplication: Junctions	# of Inverted Duplication: Events	# of Inverted Duplication: Junctions	# of Complex: Events	# of Complex: Junctions	PacBio
JS607	9R	"Met-	"	Y	N	N	3	1	4	8399750	4051018	3964175	35573	674	50596	2	32.8 	36.1 	1325	0	993	993	309	0	23	0	18	10	4	3	1	14	26	3	312	2377080	17756	103	103	4	"1,2,3,4,5,6,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-27,-26,-25,-21,-20,-18,-17,-16,-15,-11,12,13,-10,-9,-8,-7,-8,4,5,-6,9,10,-11,16,17,18,19,20,21,-22,23,24,-27,-26,-25,-24,-23,22,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,-39,-38,-37,-36,-35,-34,-33,-32,-22,23,24,25,26,27,-24,-23,22,-21,-20,-19,-18,-17,-16,11,-10,-9,6,-5,-4,8,7,8,9,10,-13,-12,11,15,16,17,18,20,21,25,26,27,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-27,-26,-25,-21,-20,-18,-17,-16,11,-10,-9,6,-5,-4,8,7,8,9,10,-13,-12,11,15,16,17,18,19,20,21,-22,23,24,-27,-26,-25,-24,-23,22,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,-39,-38,-37,-36,-35,-34,-33,-32,-22,23,24,25,26,27,-24,-23,22,-21,-20,-19,-18,-17,-16,-15,-11,12,13,-10,-9,-8,-7,-8,4,5,-6,9,10,-11,16,17,18,20,21,25,26,27,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	2	2	2	4	4	15	4	16	1	1	1
JS614	9R	"Met-	"	Y	N	N	3	2	6	6027524	2928990	2880643	32082	149	16116	3	23.9 	32.1 	1347	0	1305	1305	40	0	2	0	3	0	1	2	0	17	23	3	4	-	-	-	-	4	"1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	1	1	0	0	0	0	1	4	0	0	1
JS615	9R	"Met-	Lys-"	Y	N	N	3	2	10	7049874	3315568	3260319	26889	208	28152	4	27.0 	27.0 	853	0	789	789	59	0	5	0	4	0	4	0	0	15	18	10	4	-	-	-	-	4	"1,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,36,37,38,39,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,36,37,38,39,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,41,42,43,44"	2	2	0	0	0	0	1	4	1	1	1
JS732	9R	"	Lys-"	Y	N	N	3	4	4	8097608	5895786	5791187	68858	710	35031	4	48.0 	69.3 	2202	0	1735	1735	454	0	13	0	16	10	4	1	1	8	31	4	272	5222530	59290	240	267	4	"1,2,3,4,5,6,7,7,8,9,10,7,8,9,10,14,15,16,17,18,19,20,21,22,23,24,25,28,39,-38,-37,-36,-31,-30,-29,-27,-26,-25,-24,-23,-22,-20,-19,-18,-17,-16,-15,-14,-13,-12,11,-6,-5,3,4,-1,-44,-43,-42,40,41,29,30,31,36,37,38,39,40,41,42,43,44
1,-4,-3,5,6,-11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,29,30,31,36,37,38,-39,-28,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-10,-9,-8,-7,-10,-9,-8,-7,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,40,41,29,30,31,36,37,38,39,40,41,42,43,44
1,-4,-3,5,6,-11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,39,-38,-37,-36,-31,-30,-29,-27,-26,-25,-24,-23,-22,-20,-19,-18,-17,-16,-15,-14,-10,-9,-8,-7,-10,-9,-8,-7,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,40,41,29,30,31,36,37,38,39,40,41,42,43,44
1,-4,-3,5,6,-11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,39,-38,-37,-36,-31,-30,-29,-41,-40,42,43,44,1,2,3,4,5,6,7,7,8,9,10,7,8,9,10,14,15,16,17,18,19,20,22,23,24,25,26,27,29,30,31,36,37,38,39,40,41,42,43,44"	1	1	2	3	3	11	4	16	1	1	1
JS734	9R	"	Lys-"	Y	N	N	3	4	8	9793962	7225044	7150206	26841	331	47666	5	59.3 	27.1 	960	0	731	725	225	0	4	1	9	5	2	2	0	20	5	18	4	-	-	-	-	4	"3,-2,4,5,6,-10,-9,-8,-7,-6,-5,-4,-15,-14,12,13,14,15,16,17,18,19,20,22,23,-27,-26,-25,-24,28
3,-2,4,5,6,7,8,9,10,-6,-5,-4,-15,-14,12,13,14,15,16,17,18,19,20,22,23,-27,-26,-25,-24,28
3,-2,4,5,6,7,8,9,10,-6,-5,-4,-15,-14,-13,-12,14,15,16,17,18,19,20,22,23,-27,-26,-25,-24,28
3,-2,4,5,6,-10,-9,-8,-7,-6,-5,-4,-15,-14,-13,-12,14,15,16,17,18,19,20,22,23,-27,-26,-25,-24,28"	3	3	2	4	0	0	2	7	1	1	1
JS604	9R	"Met-	"	Y	N	N	2	2	27	7650554	3983000	3939484	22909	252	20355	3	32.6 	23.1 	945	0	738	737	203	1	4	0	13	3	3	5	2	16	14	13	8	-	-	-	-	8	"4,5,6,2,8,9,10,11,-7,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-20,-19,-21,-33,-32,-31,-30,-29,-28,-27,-26,-25,3,19,20,21,22,23,24,12,13,16,17,18
4,5,6,2,8,9,10,11,-7,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-20,-19,-3,25,26,27,28,29,30,31,32,33,21,19,20,21,22,23,24,12,13,16,17,18
4,5,6,2,8,9,10,11,-7,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-20,-19,-21,-20,-19,-3,25,26,27,28,29,30,31,32,33,21,22,23,24,12,13,16,17,18
4,5,6,2,8,9,10,11,-7,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-33,-32,-31,-30,-29,-28,-27,-26,-25,3,19,20,21,19,20,21,22,23,24,12,13,16,17,18
4,5,6,7,-11,-10,-9,-8,-2,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-20,-19,-3,25,26,27,28,29,30,31,32,33,21,19,20,21,22,23,24,12,13,16,17,18
4,5,6,7,-11,-10,-9,-8,-2,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-33,-32,-31,-30,-29,-28,-27,-26,-25,3,19,20,21,19,20,21,22,23,24,12,13,16,17,18
4,5,6,7,-11,-10,-9,-8,-2,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-20,-19,-21,-33,-32,-31,-30,-29,-28,-27,-26,-25,3,19,20,21,22,23,24,12,13,16,17,18
4,5,6,7,-11,-10,-9,-8,-2,-6,-5,-4,-18,-17,-16,-13,-12,-24,-23,-22,-21,-20,-19,-21,-20,-19,-3,25,26,27,28,29,30,31,32,33,21,22,23,24,12,13,16,17,18"	2	2	2	2	0	0	1	4	4	4	1
JS711	9R	"	Lys-"	Y	N	N	2	1	39	5437680	3987386	3925742	43154	581	17909	3	32.5 	43.6 	1337	0	963	963	371	0	3	0	22	7	8	6	1	5	29	9	222	2586462	19987	170	107	3	"1,-25,-24,-23,22,-20,-19,-18,-17,-16,-15,-14,-13,-1,-44,-43,-41,-40,-37,-36,-30,-29,-28,-26,-25,-24,-23,26,27,-23,26,27,-12,-11,-10,-9,-8,-7,11,-7,-6,-5,-4,-3,-6,-5,-4,-3,-2,22,-20,-19,-18,-17,-16,-15,-14,-13,-28,29,30,36,37,40,41,43,44
1,13,14,15,16,17,18,19,20,-22,23,24,25,-1,-44,-43,-41,-40,-37,-36,-30,-29,-28,-26,-25,-24,-23,26,27,-23,26,27,-12,-11,-10,-9,-8,-7,11,-7,-6,-5,-4,-3,-6,-5,-4,-3,-2,22,-20,-19,-18,-17,-16,-15,-14,-13,-28,29,30,36,37,40,41,43,44
1,13,14,15,16,17,18,19,20,-22,2,3,4,5,6,3,4,5,6,7,-11,7,8,9,10,11,12,-27,-26,23,-27,-26,23,24,25,26,28,29,30,36,37,40,41,43,44,1,-25,-24,-23,22,-20,-19,-18,-17,-16,-15,-14,-13,-28,29,30,36,37,40,41,43,44
1,-25,-24,-23,22,-20,-19,-18,-17,-16,-15,-14,-13,-1,-44,-43,-41,-40,-37,-36,-30,-29,28,13,14,15,16,17,18,19,20,-22,2,3,4,5,6,3,4,5,6,7,-11,7,8,9,10,11,12,-27,-26,23,24,25,26,27,-23,26,28,29,30,36,37,40,41,43,44
1,-25,-24,-23,22,-20,-19,-18,-17,-16,-15,-14,-13,-1,-44,-43,-41,-40,-37,-36,-30,-29,-28,-26,23,-27,-26,-25,-24,-23,26,27,-12,-11,-10,-9,-8,-7,11,-7,-6,-5,-4,-3,-6,-5,-4,-3,-2,22,-20,-19,-18,-17,-16,-15,-14,-13,-28,29,30,36,37,40,41,43,44
1,13,14,15,16,17,18,19,20,-22,2,3,4,5,6,3,4,5,6,7,-11,7,8,9,10,11,12,-27,-26,23,24,25,26,27,-23,26,28,29,30,36,37,40,41,43,44,1,-25,-24,-23,22,-20,-19,-18,-17,-16,-15,-14,-13,-28,29,30,36,37,40,41,43,44
1,-25,-24,-23,26,27,-23,22,-20,-19,-18,-17,-16,-15,-14,-13,-28,29,30,36,37,40,41,43,44,1,13,14,15,16,17,18,19,20,-22,2,3,4,5,6,3,4,5,6,7,-11,7,8,9,10,11,12,-27,-26,23,24,25,26,28,29,30,36,37,40,41,43,44
1,-25,-24,-23,26,27,-23,22,-20,-19,-18,-17,-16,-15,-14,-13,-1,-44,-43,-41,-40,-37,-36,-30,-29,28,13,14,15,16,17,18,19,20,-22,2,3,4,5,6,3,4,5,6,7,-11,7,8,9,10,11,12,-27,-26,23,24,25,26,28,29,30,36,37,40,41,43,44
1,13,14,15,16,17,18,19,20,-22,23,-27,-26,23,24,25,-1,-44,-43,-41,-40,-37,-36,-30,-29,28,13,14,15,16,17,18,19,20,-22,2,3,4,5,6,3,4,5,6,7,-11,7,8,9,10,11,12,-27,-26,23,24,25,26,28,29,30,36,37,40,41,43,44"	4	4	2	4	3	13	2	8	1	1	1
JS628	9R	"Met-	"	Y	N	N	3	4	17	5630204	2459392	2410671	21267	240	27214	4	20.0 	21.4 	759	0	694	694	61	0	4	0	5	0	3	2	0	20	18	5	12	-	-	-	-	12	"1,2,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,40,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-1,-44,-43,-42,-41,-40,-40,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,40,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-1,-44,-43,-42,-41,-40,-40,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,-44,-43,-42,-41,-40,-40,-39,-38,-37,-36,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-1,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,36,37,38,39,40,40,40,41,42,43,44"	1	1	0	0	0	1	1	4	1	1	1
JS706	9R	"Met-	Lys-"	Y	N	Y	2	1	28	4427082	2064632	2038727	9197	137	16571	2	16.9 	9.3 	295	0	224	224	69	0	2	0	9	4	2	3	0	19	7	17	12	-	-	-	-	12	"1,2,3,-4,7,8,9,10,11,12,13,19,20,21,22,23,-24,25,26,36,37,38,19,21,22,23,24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,21,22,23,24,25,26,36,37,38,19,20,21,22,23,-24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,20,21,22,23,24,-23,-22,-21,-19,-38,-37,-36,-26,-25,24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,20,21,22,23,-24,-23,-22,-21,-19,-38,-37,-36,-26,-25,24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,20,21,22,23,24,25,26,36,37,38,19,21,22,23,-24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,21,22,23,24,-23,-22,-21,-20,-19,-38,-37,-36,-26,-25,-24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,21,22,23,-24,-23,-22,-21,-20,-19,-38,-37,-36,-26,-25,24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,21,22,23,-24,25,26,36,37,38,19,20,21,22,23,24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,21,22,23,-24,-23,-22,-21,-20,-19,-38,-37,-36,-26,-25,-24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,21,22,23,24,-23,-22,-21,-20,-19,-38,-37,-36,-26,-25,24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,20,21,22,23,24,-23,-22,-21,-19,-38,-37,-36,-26,-25,-24,25,26,27,41,42,43,44
1,2,3,-4,7,8,9,10,11,12,13,19,20,21,22,23,-24,-23,-22,-21,-19,-38,-37,-36,-26,-25,-24,25,26,27,41,42,43,44"	4	4	2	4	1	4	0	0	2	2	1
JS609	9R	"Met-	"	Y	N	N	3	1	14	8526558	4162742	4094154	27940	558	40090	4	33.9 	28.4 	975	0	637	636	322	1	16	0	18	10	4	3	1	23	12	8	18	-	-	-	-	18	"1,5,6,9,10,-11,7,8,9,10,11,5,6,12,16,17,18,19,20,21,24,25,26,29,30,31,-32,33,39,40,41,42,43,44,1,2,3,4,37,38,27,-27,-26,28,39,41,42,43,44
1,2,3,4,37,38,27,-27,-26,28,39,40,41,42,43,44,1,5,6,9,10,11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,29,30,31,-32,33,39,41,42,43,44
1,2,3,4,37,38,27,-27,-26,28,39,40,41,42,43,44,1,5,6,9,10,-11,7,8,9,10,11,5,6,12,16,17,18,19,20,21,24,25,26,29,30,31,-32,33,39,41,42,43,44
1,5,6,9,10,11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,29,30,31,-32,33,39,40,41,42,43,44,1,2,3,4,37,38,27,-27,-26,28,39,41,42,43,44
1,2,3,4,37,38,27,-27,-26,28,39,40,41,42,43,44,1,5,6,9,10,-11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,29,30,31,-32,33,39,41,42,43,44
1,5,6,9,10,-11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,29,30,31,-32,33,39,40,41,42,43,44,1,2,3,4,37,38,27,-27,-26,28,39,41,42,43,44
1,5,6,9,10,-11,7,8,9,10,11,5,6,12,16,17,18,19,20,21,24,25,26,27,-27,-38,-37,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-33,32,-31,-30,-29,-26,28,39,41,42,43,44
1,2,3,4,37,38,27,-27,-26,-25,-24,-21,-20,-19,-18,-17,-16,-12,-6,-5,-11,7,8,9,10,-11,-10,-9,-6,-5,-1,-44,-43,-42,-41,-39,-28,26,29,30,31,-32,33,39,40,41,42,43,44
1,2,3,4,37,38,27,-27,-26,-25,-24,-21,-20,-19,-18,-17,-16,-12,-6,-5,-11,7,8,9,10,11,-10,-9,-6,-5,-1,-44,-43,-42,-41,-39,-33,32,-31,-30,-29,-26,28,39,40,41,42,43,44
1,2,3,4,37,38,27,-27,-26,-25,-24,-21,-20,-19,-18,-17,-16,-12,-6,-5,-11,7,8,9,10,-11,-10,-9,-6,-5,-1,-44,-43,-42,-41,-40,-39,-28,26,29,30,31,-32,33,39,41,42,43,44
1,5,6,9,10,-11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,27,-27,-38,-37,-4,-3,-2,-1,-44,-43,-42,-41,-39,-28,26,29,30,31,-32,33,39,40,41,42,43,44
1,5,6,9,10,-11,7,8,9,10,11,5,6,12,16,17,18,19,20,21,24,25,26,27,-27,-38,-37,-4,-3,-2,-1,-44,-43,-42,-41,-39,-33,32,-31,-30,-29,-26,28,39,40,41,42,43,44
1,2,3,4,37,38,27,-27,-26,-25,-24,-21,-20,-19,-18,-17,-16,-12,-6,-5,-11,7,8,9,10,-11,-10,-9,-6,-5,-1,-44,-43,-42,-41,-40,-39,-33,32,-31,-30,-29,-26,28,39,41,42,43,44
1,2,3,4,37,38,27,-27,-26,-25,-24,-21,-20,-19,-18,-17,-16,-12,-6,-5,-11,-10,-9,-8,-7,11,-10,-9,-6,-5,-1,-44,-43,-42,-41,-40,-39,-33,32,-31,-30,-29,-26,28,39,41,42,43,44
1,5,6,9,10,-11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,27,-27,-38,-37,-4,-3,-2,-1,-44,-43,-42,-41,-39,-33,32,-31,-30,-29,-26,28,39,40,41,42,43,44
1,5,6,9,10,-11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,27,-27,-38,-37,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-33,32,-31,-30,-29,-26,28,39,41,42,43,44
1,5,6,9,10,11,-10,-9,-8,-7,11,5,6,12,16,17,18,19,20,21,24,25,26,27,-27,-38,-37,-4,-3,-2,-1,-44,-43,-42,-41,-40,-39,-28,26,29,30,31,-32,33,39,41,42,43,44
1,2,3,4,37,38,27,-27,-26,-25,-24,-21,-20,-19,-18,-17,-16,-12,-6,-5,-11,-10,-9,-8,-7,11,-10,-9,-6,-5,-1,-44,-43,-42,-41,-39,-33,32,-31,-30,-29,-26,28,39,40,41,42,43,44"	3	3	2	4	3	11	1	5	2	2	1
